;condition;id;stimulus_nc;responses;repetitions;object_str;feature_str;;object_se;feature_se
330;seq;VP10;duck_small;"essender Wolf""}";6;irrel;irrel;;irrel;irrel
331;hol;VP11;duck_small;"Huhn""}";3;rel;ne;;rel;ne
332;seq;VP12;duck_small;"Hase""}";5;irrel;ne;;irrel;ne
333;hol;VP13;duck_small;"Frosch""}";3;irrel;ne;;irrel;ne
334;seq;VP14;duck_small;"kleines Fahrrad""}";2;irrel;rel;;irrel;rel
335;hol;VP15;duck_small;"ein kleines Baby""}";2;irrel;rel;;irrel;rel
336;seq;VP16;duck_small;"dringliches Huhn""}";2;rel;irrel;;rel;irrel
337;hol;VP17;duck_small;"kleine Katze""}";1;irrel;rel;;irrel;rel
338;seq;VP18;duck_small;"ein Bär""}";2;irrel;ne;;irrel;ne
339;hol;VP19;duck_small;"Frosch""}";2;irrel;ne;;irrel;ne
340;seq;VP20;duck_small;"quengelndes Baby""}";6;irrel;irrel;;irrel;irrel
341;seq;VP01;elephant_jump;"Springender Elefant""}";1;rel;rel;;rel;rel
342;hol;VP02;elephant_jump;"springendes Elephant""}";1;rel;rel;;rel;rel
343;seq;VP03;elephant_jump;"hüpfender Elefant""}";1;rel;rel;;rel;rel
344;hol;VP04;elephant_jump;"springender Elefant""}";1;rel;rel;;rel;rel
345;seq;VP05;elephant_jump;"springender Elefant ""}";1;rel;rel;;rel;rel
346;hol;VP06;elephant_jump;"Elephant""}";1;rel;ne;;rel;ne
347;seq;VP07;elephant_jump;"großer Elefant""}";1;rel;irrel;;rel;irrel
348;hol;VP08;elephant_jump;"ein springender Elefant""}";1;rel;rel;;rel;rel
349;seq;VP09;elephant_jump;"springender Elefant""}";1;rel;rel;;rel;rel
350;hol;VP10;elephant_jump;"hüpfender Elefant""}";1;rel;rel;;rel;rel
351;seq;VP11;elephant_jump;"Elefant ""}";1;rel;ne;;rel;ne
352;hol;VP12;elephant_jump;"springender Elefant""}";1;rel;rel;;rel;rel
353;seq;VP13;elephant_jump;"Elefantensprung""}";1;rel;ne;;rel;rel
354;hol;VP14;elephant_jump;"hüpfender Elefant""}";1;rel;rel;;rel;rel
355;seq;VP15;elephant_jump;"springender Elefant""}";1;rel;rel;;rel;rel
356;hol;VP16;elephant_jump;"Springender Elefant""}";2;rel;rel;;rel;rel
357;seq;VP17;elephant_jump;"großer Elefant""}";1;rel;irrel;;rel;irrel
358;hol;VP18;elephant_jump;"der Elefant""}";1;rel;ne;;rel;ne
359;seq;VP19;elephant_jump;"springender Elefant""}";2;rel;rel;;rel;rel
360;hol;VP20;elephant_jump;"hüpfender Elefant""}";1;rel;rel;;rel;rel
361;hol;VP01;elephant_run;"Rennender Elefant""}";1;rel;rel;;rel;rel
362;seq;VP02;elephant_run;"rennender Elephant""}";1;rel;rel;;rel;rel
363;hol;VP03;elephant_run;"laufender Elefant""}";2;rel;rel;;rel;rel
364;seq;VP04;elephant_run;"rennender Elefant""}";1;rel;rel;;rel;rel
365;hol;VP05;elephant_run;"rennender Elefant ""}";1;rel;rel;;rel;rel
366;seq;VP06;elephant_run;"Elephanten""}";2;rel;ne;;rel;ne
367;hol;VP07;elephant_run;"schneller Elefant""}";1;rel;rel;;rel;rel
368;seq;VP08;elephant_run;"ein sich drehender Elefant""}";1;rel;irrel;;rel;irrel
369;hol;VP09;elephant_run;"rennender Elefant ""}";1;rel;rel;;rel;rel
370;seq;VP10;elephant_run;"laufender Elefant""}";2;rel;rel;;rel;rel
371;hol;VP11;elephant_run;"Elefant ""}";1;rel;ne;;rel;ne
372;seq;VP12;elephant_run;"laufender Elefant""}";2;rel;rel;;rel;rel
373;hol;VP13;elephant_run;"rennender Elefant""}";2;rel;rel;;rel;rel
374;seq;VP14;elephant_run;"sich drehender Taucher""}";2;irrel;irrel;;irrel;irrel
375;hol;VP15;elephant_run;"tanzender Elefant""}";1;rel;irrel;;rel;irrel
376;seq;VP16;elephant_run;"junger elefant""}";5;rel;irrel;;rel;irrel
377;hol;VP17;elephant_run;"schneller Elefant""}";1;rel;rel;;rel;rel
378;seq;VP18;elephant_run;"Elefant""}";2;rel;ne;;rel;ne
379;hol;VP19;elephant_run;"laufender Elefant ""}";1;rel;rel;;rel;rel
380;seq;VP20;elephant_run;"rennender Elefant""}";1;rel;rel;;rel;rel
381;seq;VP01;fork_big;"Langes Essen""}";3;rel;rel;;rel;rel
382;hol;VP02;fork_big;"gegessene Karotte""}";3;irrel;irrel;;rel;irrel
383;seq;VP03;fork_big;"Futtertrog""}";1;irrel;ne;;rel;ne
384;hol;VP04;fork_big;"Essenstopf""}";2;irrel;ne;;rel;ne
385;seq;VP05;fork_big;"Kühlschrank""}";2;irrel;ne;;irrel;ne
386;hol;VP06;fork_big;"Mittagessen""}";1;rel;ne;;rel;ne
387;seq;VP07;fork_big;"essender Bär""}";1;irrel;irrel;;rel;irrel
388;hol;VP08;fork_big;"Suppenlöffel""}";2;rel;ne;;rel;ne
389;seq;VP09;fork_big;"dicker Mensch ""}";3;irrel;rel;;irrel;rel
390;hol;VP10;fork_big;"essendes Kind""}";4;irrel;irrel;;rel;irrel
391;seq;VP11;fork_big;"großes Essen, Gericht ""}";1;rel;rel;;rel;rel
392;hol;VP12;fork_big;"Essen""}";3;rel;ne;;rel;ne
393;seq;VP13;fork_big;"große Gabel""}";2;rel;rel;;rel;rel
394;hol;VP14;fork_big;"große Gabel""}";1;rel;rel;;rel;rel
395;seq;VP15;fork_big;"große Pizza essen""}";2;irrel;rel;;rel;rel
396;hol;VP16;fork_big;"Hungriger Affe""}";2;irrel;irrel;;irrel;irrel
397;seq;VP17;fork_big;"essender Bär""}";1;irrel;irrel;;rel;irrel
398;hol;VP18;fork_big;"das Wasser""}";2;irrel;ne;;irrel;ne
399;seq;VP19;fork_big;"großer Hunger""}";2;irrel;rel;;irrel;rel
400;hol;VP20;fork_big;"leergegessene Suppe""}";2;irrel;irrel;;rel;irrel
401;hol;VP01;fork_many;"Unterschiedliches Essen""}";2;rel;rel;;rel;rel
402;seq;VP02;fork_many;"volle Schüssel""}";1;irrel;rel;;irrel;rel
403;hol;VP03;fork_many;"Nussknacker""}";3;irrel;ne;;irrel;ne
404;seq;VP04;fork_many;"Fastfood""}";5;rel;ne;;rel;ne
405;hol;VP05;fork_many;"Obst pflücken, essen""}";4;irrel;irrel;;rel;irrel
406;seq;VP06;fork_many;"Brei essen""}";3;irrel;irrel;;rel;irrel
407;hol;VP07;fork_many;"langes Buffet""}";1;irrel;rel;;irrel;rel
408;seq;VP08;fork_many;"essen""}";3;ne;irrel;;rel;irrel
409;hol;VP09;fork_many;"unterschiedliches Essen probieren""}";4;rel;rel;;rel;rel
410;seq;VP10;fork_many;"schneller Esser""}";8;rel;irrel;;rel;irrel
411;hol;VP11;fork_many;"Kost probe""}";1;irrel;ne;;irrel;ne
412;seq;VP12;fork_many;"Essen""}";1;rel;ne;;rel;ne
413;hol;VP13;fork_many;"Buffet""}";2;irrel;ne;;irrel;ne
414;seq;VP14;fork_many;"Essen""}";1;rel;ne;;rel;ne
415;hol;VP15;fork_many;"jemand isst von einem Buffet""}";2;irrel;irrel;;rel;irrel
416;seq;VP16;fork_many;"""}";8;ne;ne;;ne;ne
417;hol;VP17;fork_many;"langes Buffet""}";1;irrel;rel;;irrel;rel
418;seq;VP18;fork_many;"Essen""}";1;rel;ne;;rel;ne
419;hol;VP19;fork_many;"""}";5;ne;ne;;ne;ne
420;seq;VP20;fork_many;"fast food""}";5;rel;ne;;rel;ne
421;seq;VP01;fork_one;"Gutes Schnick Schnack Schnuck""}";4;irrel;irrel;;irrel;irrel
422;hol;VP02;fork_one;"getunktes Brot""}";2;irrel;irrel;;irrel;irrel
423;seq;VP03;fork_one;"Papier""}";3;irrel;ne;;irrel;ne
424;hol;VP04;fork_one;"essender Junge""}";2;irrel;irrel;;rel;irrel
425;seq;VP05;fork_one;"Lob""}";6;irrel;ne;;irrel;ne
426;hol;VP06;fork_one;"Mittagessen""}";2;rel;ne;;rel;ne
427;seq;VP07;fork_one;"gute Trommel""}";1;irrel;irrel;;irrel;irrel
428;hol;VP08;fork_one;"Gabel ""}";2;rel;ne;;rel;ne
429;seq;VP09;fork_one;"Trommel""}";3;irrel;ne;;irrel;ne
430;hol;VP10;fork_one;"Gabel""}";1;rel;ne;;rel;ne
431;seq;VP11;fork_one;"motiviert, daumenhoch, mensch ""}";3;irrel;irrel;;irrel;irrel
432;hol;VP12;fork_one;"Essen""}";1;rel;ne;;rel;ne
433;seq;VP13;fork_one;"Lob""}";3;irrel;ne;;irrel;ne
434;hol;VP14;fork_one;"Gabel""}";2;rel;ne;;rel;ne
435;seq;VP15;fork_one;"Nagel an ein Holzbrett schlagen ""}";2;irrel;irrel;;irrel;irrel
436;hol;VP16;fork_one;"Stabiler Löffel ""}";2;rel;irrel;;rel;irrel
437;seq;VP17;fork_one;"gute Trommel""}";1;irrel;irrel;;irrel;irrel
438;hol;VP18;fork_one;"da Essen""}";1;rel;irrel;;rel;irrel
439;seq;VP19;fork_one;"springender Ball""}";8;irrel;irrel;;irrel;irrel
440;hol;VP20;fork_one;"leeres Buffet""}";6;irrel;irrel;;irrel;irrel
441;hol;VP01;fork_small;"Essen""}";1;rel;ne;;rel;ne
442;seq;VP02;fork_small;"verteiltes Brot""}";2;irrel;irrel;;irrel;irrel
443;hol;VP03;fork_small;"Löffel""}";8;rel;ne;;rel;ne
444;seq;VP04;fork_small;"aufgeschnittenes Brot""}";8;irrel;irrel;;irrel;irrel
445;hol;VP05;fork_small;"Essen""}";1;rel;ne;;rel;ne
446;seq;VP06;fork_small;"Snack-Maschine""}";3;irrel;ne;;irrel;ne
447;hol;VP07;fork_small;"gutes Essen""}";1;rel;irrel;;rel;irrel
448;seq;VP08;fork_small;"jemand, der essen verteilt""}";7;rel;irrel;;rel;irrel
449;hol;VP09;fork_small;"Suppe ""}";2;irrel;ne;;irrel;ne
450;seq;VP10;fork_small;"Süßigkeitenschachtel""}";3;irrel;ne;;irrel;ne
451;hol;VP11;fork_small;"essen""}";1;ne;irrel;;rel;ne
452;seq;VP12;fork_small;"geschnittenes Brot""}";2;irrel;irrel;;irrel;irrel
453;hol;VP13;fork_small;"essen""}";1;ne;irrel;;rel;ne
454;seq;VP14;fork_small;"geschnittenes Brot""}";1;irrel;irrel;;irrel;irrel
455;hol;VP15;fork_small;"Mittagessen""}";1;irrel;ne;;irrel;ne
456;seq;VP16;fork_small;"Pinke Ente""}";9;irrel;irrel;;irrel;irrel
457;hol;VP17;fork_small;"gutes Essen""}";1;rel;irrel;;rel;irrel
458;seq;VP18;fork_small;"Bonbon""}";2;irrel;irrel;;irrel;irrel
459;hol;VP19;fork_small;"Essen""}";2;rel;ne;;rel;ne
460;seq;VP20;fork_small;"geschnittenes Brot""}";2;irrel;irrel;;irrel;irrel
461;seq;VP01;hammer_big;"Großes Hauen""}";2;rel;rel;;rel;rel
462;hol;VP02;hammer_big;"fressendes Krokodil""}";1;irrel;irrel;;irrel;irrel
463;seq;VP03;hammer_big;"Sprudelwasser""}";7;irrel;ne;;irrel;ne
464;hol;VP04;hammer_big;"Schellen""}";2;irrel;ne;;irrel;ne
465;seq;VP05;hammer_big;"ärgerndes Kind ""}";8;irrel;ne;;irrel;ne
466;hol;VP06;hammer_big;"Ziehharmonika""}";1;rel;ne;;rel;ne
467;seq;VP07;hammer_big;"geschlossener Würfel""}";2;irrel;irrel;;irrel;irrel
468;hol;VP08;hammer_big;"krokodil""}";4;irrel;ne;;irrel;ne
469;seq;VP09;hammer_big;"Hammer""}";3;rel;ne;;rel;ne
470;hol;VP10;hammer_big;"Klanghölzer""}";4;irrel;ne;;irrel;ne
471;seq;VP11;hammer_big;"etwas zerschlagen""}";1;irrel;irrel;;rel;irrel
472;hol;VP12;hammer_big;"Pauken""}";1;irrel;ne;;irrel;ne
473;seq;VP13;hammer_big;"Würfelbox""}";2;irrel;ne;;irrel;ne
474;hol;VP14;hammer_big;"Musikschellen""}";2;irrel;ne;;irrel;ne
475;seq;VP15;hammer_big;"Haus gebaut ""}";2;irrel;irrel;;irrel;irrel
476;hol;VP16;hammer_big;"Kokosnussaufsprengender Affe""}";3;irrel;irrel;;irrel;irrel
477;seq;VP17;hammer_big;"geschlossener Würfel""}";2;irrel;irrel;;irrel;irrel
478;hol;VP18;hammer_big;"ein Hammer""}";1;rel;ne;;rel;ne
479;seq;VP19;hammer_big;"großer Hammer""}";2;rel;rel;;rel;rel
480;hol;VP20;hammer_big;"scharfe Schere""}";3;irrel;irrel;;irrel;irrel
481;hol;VP01;hammer_many;"Schlagzeugspielen""}";2;rel;ne;;rel;irrel
482;seq;VP02;hammer_many;"enthusiastischer Passagier""}";2;irrel;irrel;;irrel;irrel
483;hol;VP03;hammer_many;"Trommel""}";2;rel;ne;;rel;ne
484;seq;VP04;hammer_many;"Jackpot""}";7;irrel;ne;;irrel;ne
485;hol;VP05;hammer_many;"Trommler ""}";2;rel;ne;;rel;ne
486;seq;VP06;hammer_many;"Richter""}";2;irrel;ne;;irrel;ne
487;hol;VP07;hammer_many;"laute Trommel""}";2;rel;irrel;;rel;irrel
488;seq;VP08;hammer_many;"ein klopfender Gast""}";6;irrel;irrel;;rel;irrel
489;hol;VP09;hammer_many;"Schlagzeug spielen""}";2;rel;irrel;;rel;irrel
490;seq;VP10;hammer_many;"Hammer""}";5;rel;ne;;rel;ne
491;hol;VP11;hammer_many;"schlag zeug spielen""}";1;rel;irrel;;rel;irrel
492;seq;VP12;hammer_many;"An Tür klopfen""}";5;irrel;irrel;;rel;irrel
493;hol;VP13;hammer_many;"schlagen""}";2;ne;irrel;;rel;ne
494;seq;VP14;hammer_many;"offenes Autofenster""}";3;irrel;irrel;;irrel;irrel
495;hol;VP15;hammer_many;"trommeln""}";2;ne;irrel;;rel;ne
496;seq;VP16;hammer_many;"Zehn Finger""}";1;irrel;rel;;irrel;rel
497;hol;VP17;hammer_many;"laute Trommel""}";2;rel;irrel;;rel;irrel
498;seq;VP18;hammer_many;"eine Glocke""}";3;irrel;ne;;irrel;ne
499;hol;VP19;hammer_many;"Trommel""}";4;rel;ne;;rel;ne
500;seq;VP20;hammer_many;"Gruppe mit 10 Personen""}";35;irrel;rel;;irrel;rel
501;seq;VP01;hammer_one;"Schnick Schnack Schnur gewinnen""}";3;irrel;irrel;;irrel;irrel
502;hol;VP02;hammer_one;"schuftender Arbeiter""}";1;irrel;irrel;;irrel;irrel
503;seq;VP03;hammer_one;"Papier""}";8;irrel;ne;;irrel;ne
504;hol;VP04;hammer_one;"Holzfäller""}";2;rel;ne;;rel;ne
505;seq;VP05;hammer_one;"Lob""}";2;irrel;ne;;irrel;ne
506;hol;VP06;hammer_one;"Holz hacken""}";1;irrel;irrel;;rel;irrel
507;seq;VP07;hammer_one;"gute Trommel""}";1;rel;irrel;;rel;irrel
508;hol;VP08;hammer_one;"hammer ""}";1;rel;ne;;rel;ne
509;seq;VP09;hammer_one;"Trommel""}";2;rel;ne;;rel;ne
510;hol;VP10;hammer_one;"Holzhacker""}";1;rel;ne;;rel;irrel
511;seq;VP11;hammer_one;"Motiviert ""}";1;ne;irrel;;ne;irrel
512;hol;VP12;hammer_one;"Holz hacken""}";2;irrel;irrel;;rel;irrel
513;seq;VP13;hammer_one;"würfeln""}";1;ne;irrel;;ne;irrel
514;hol;VP14;hammer_one;"Axt""}";1;rel;ne;;rel;ne
515;seq;VP15;hammer_one;"Zustimmung, Lehrer""}";3;irrel;ne;;irrel;ne
516;hol;VP16;hammer_one;"Schwere Axt""}";2;rel;irrel;;rel;irrel
517;seq;VP17;hammer_one;"gute Trommel""}";1;rel;irrel;;rel;irrel
518;hol;VP18;hammer_one;"eine Axt""}";1;rel;rel;;rel;rel
519;seq;VP19;hammer_one;"gut gemacht""}";2;ne;irrel;;ne;irrel
520;hol;VP20;hammer_one;"hackende Axt""}";1;rel;irrel;;rel;irrel
521;hol;VP01;hammer_small;"Stampfen""}";4;ne;irrel;;rel;ne
522;seq;VP02;hammer_small;"klopfendes Herz""}";2;irrel;irrel;;irrel;irrel
523;hol;VP03;hammer_small;"Hammer""}";8;rel;ne;;rel;ne
524;seq;VP04;hammer_small;"zerbrochene Kugeln""}";12;irrel;irrel;;irrel;irrel
525;hol;VP05;hammer_small;"gemolkene Kuh""}";7;irrel;irrel;;irrel;irrel
526;seq;VP06;hammer_small;"Verkaufen""}";2;ne;irrel;;ne;irrel
527;hol;VP07;hammer_small;"laute Trommel""}";3;rel;irrel;;rel;irrel
528;seq;VP08;hammer_small;"Schneemann""}";12;irrel;ne;;irrel;ne
529;hol;VP09;hammer_small;"Trommel""}";3;rel;ne;;rel;ne
530;seq;VP10;hammer_small;"kleine Tür""}";3;irrel;rel;;irrel;rel
531;hol;VP11;hammer_small;"etwas zerschlagen ""}";1;irrel;irrel;;rel;irrel
532;seq;VP12;hammer_small;"Baum""}";7;irrel;ne;;irrel;ne
533;hol;VP13;hammer_small;"würfeln""}";1;ne;irrel;;ne;irrel
534;seq;VP14;hammer_small;"Gastgeschenk""}";4;irrel;ne;;irrel;ne
535;hol;VP15;hammer_small;"Holzfäller""}";2;rel;ne;;rel;ne
536;seq;VP16;hammer_small;"Runde Schreibmaschine""}";6;irrel;irrel;;irrel;irrel
537;hol;VP17;hammer_small;"laute Trommel""}";3;rel;irrel;;rel;irrel
538;seq;VP18;hammer_small;"die Tür""}";3;irrel;ne;;irrel;ne
539;hol;VP19;hammer_small;"Zerschlagen""}";3;ne;irrel;;rel;ne
540;seq;VP20;hammer_small;"aufgegangener Hefeteig""}";5;irrel;irrel;;irrel;irrel
541;seq;VP01;monkey_jump;"springender Affe""}";2;rel;rel;;rel;rel
542;hol;VP02;monkey_jump;"springender Supermann""}";1;irrel;rel;;irrel;rel
543;seq;VP03;monkey_jump;"hüpfender Affe""}";3;rel;rel;;rel;rel
544;hol;VP04;monkey_jump;"fliegender Superman""}";2;irrel;rel;;irrel;rel
545;seq;VP05;monkey_jump;"springender Affe ""}";1;rel;rel;;rel;rel
546;hol;VP06;monkey_jump;"Superman""}";1;irrel;ne;;irrel;ne
547;seq;VP07;monkey_jump;"glückliches Känguru""}";1;irrel;irrel;;irrel;irrel
548;hol;VP08;monkey_jump;"vogel""}";1;irrel;ne;;irrel;ne
549;seq;VP09;monkey_jump;"springender Affe""}";2;rel;rel;;rel;rel
550;hol;VP10;monkey_jump;"Superman""}";1;irrel;ne;;irrel;ne
551;seq;VP11;monkey_jump;"Juck reiz ""}";2;irrel;ne;;irrel;ne
552;hol;VP12;monkey_jump;"Ballerina""}";2;irrel;ne;;irrel;ne
553;seq;VP13;monkey_jump;"springender Affe""}";2;rel;rel;;rel;rel
554;hol;VP14;monkey_jump;"fliegender Flamingo""}";2;irrel;rel;;irrel;rel
555;seq;VP15;monkey_jump;"Affe""}";2;rel;ne;;rel;ne
556;hol;VP16;monkey_jump;"Erfolgreicher Skispringer""}";2;irrel;irrel;;rel;irrel
557;seq;VP17;monkey_jump;"glückliches Känguru""}";1;irrel;irrel;;irrel;irrel
558;hol;VP18;monkey_jump;"Fisch""}";2;irrel;ne;;irrel;ne
559;seq;VP19;monkey_jump;"hüpfender Affe""}";1;rel;rel;;rel;rel
560;hol;VP20;monkey_jump;"abhebendes Flugzeug""}";7;irrel;rel;;irrel;rel
